close,date,high,low,mcap,open,volume
7361.66,2018-09-04,7388.26,7255.44,126986882925.0,7263.0,4273640000.0
7260.06,2018-09-03,7317.94,7208.15,125222785390.0,7279.03,4087760000.0
7272.72,2018-09-02,7306.31,7132.16,125427780027.0,7189.58,4329540000.0
7193.25,2018-09-01,7242.29,7038.05,124044625438.0,7044.81,4116050000.0
7037.58,2018-08-31,7057.17,6920.16,121346613238.0,6973.97,4495650000.0
6978.23,2018-08-30,7072.69,6834.69,120309828156.0,7043.76,4463250000.0
7047.16,2018-08-29,7113.3,6970.82,121484666374.0,7091.71,4145880000.0
7096.28,2018-08-28,7109.56,6882.34,122319195736.0,6891.08,4659940000.0
6884.64,2018-08-27,6884.64,6689.71,118657885712.0,6710.8,4019000000.0
6707.26,2018-08-26,6774.75,6620.75,115585205491.0,6754.64,3295500000.0
6763.19,2018-08-25,6789.63,6700.96,116534497933.0,6719.95,3312600000.0
6719.96,2018-08-24,6719.96,6498.64,115778358839.0,6551.52,4097820000.0
6534.88,2018-08-23,6546.54,6371.34,112577436411.0,6371.34,3426180000.0
6376.71,2018-08-22,6816.79,6310.11,109840902181.0,6486.25,4668110000.0
6488.76,2018-08-21,6500.87,6298.24,111758100192.0,6301.07,3377180000.0
6308.53,2018-08-20,6536.92,6297.93,108642191682.0,6500.51,3665100000.0
6506.07,2018-08-19,6537.98,6361.55,112031838393.0,6422.57,3311170000.0
6423.76,2018-08-18,6617.35,6353.73,110603014928.0,6583.43,3984520000.0
6580.63,2018-08-17,6582.5,6324.97,113290724406.0,6340.91,4992990000.0
6334.73,2018-08-16,6473.5,6276.41,109045250379.0,6294.23,4328420000.0
6308.52,2018-08-15,6588.49,6221.42,108581773101.0,6221.42,4895450000.0
6199.71,2018-08-14,6287.94,5971.05,106696389129.0,6287.66,5301700000.0
6297.57,2018-08-13,6537.05,6225.72,108369686635.0,6341.36,4083980000.0
6322.69,2018-08-12,6409.85,6237.5,108790259014.0,6283.65,5665250000.0
6295.73,2018-08-11,6455.74,6109.03,108314257212.0,6185.79,4047850000.0
6184.71,2018-08-10,6591.26,6124.52,106390927598.0,6571.42,4528680000.0
6568.23,2018-08-09,6625.73,6249.07,112973963230.0,6305.56,4267040000.0
6305.8,2018-08-08,6746.85,6226.22,108448409560.0,6746.85,5064430000.0
6753.12,2018-08-07,7146.56,6748.24,116128339800.0,6958.32,4682800000.0
6951.8,2018-08-06,7166.55,6890.54,119531508535.0,7062.94,3925900000.0
7068.48,2018-08-05,7102.77,6940.7,121526079384.0,7031.08,3679110000.0
7032.85,2018-08-04,7497.49,6984.07,120899698889.0,7438.67,4268390000.0
7434.39,2018-08-03,7562.14,7328.65,127785826655.0,7562.14,4627150000.0
7567.15,2018-08-02,7712.77,7523.44,130052066760.0,7634.19,4214110000.0
7624.91,2018-08-01,7769.04,7504.95,131030166771.0,7769.04,4797620000.0
7780.44,2018-07-31,8181.53,7696.93,133688476220.0,8181.2,5287530000.0
8180.48,2018-07-30,8235.5,7917.5,140547190784.0,8221.58,5551400000.0
8218.46,2018-07-29,8272.26,8141.18,141185844808.0,8205.82,4107190016.0
8192.15,2018-07-28,8222.85,8110.77,140716560550.0,8169.06,3988750080.0
8165.01,2018-07-27,8262.66,7839.76,140235573607.0,7950.4,5195879936.0
7951.58,2018-07-26,8290.33,7878.71,136553079708.0,8176.85,4899089920.0
8181.39,2018-07-25,8416.87,8086.36,140482950401.0,8379.66,5845400064.0
8424.27,2018-07-24,8424.27,7705.5,144634918474.0,7716.51,7277689856.0
7711.11,2018-07-23,7771.5,7409.1,132375368459.0,7414.71,5132480000.0
7418.49,2018-07-22,7537.95,7383.82,127336615249.0,7417.8,3695460096.0
7419.29,2018-07-21,7437.64,7262.41,127333468174.0,7352.72,3726609920.0
7354.13,2018-07-20,7594.67,7323.26,126202570251.0,7467.4,4936869888.0
7466.86,2018-07-19,7494.46,7295.46,128122730711.0,7378.2,5111629824.0
7370.78,2018-07-18,7534.99,7280.47,126458165406.0,7315.32,6103410176.0
7321.04,2018-07-17,7387.24,6684.17,125588963706.0,6739.65,5961950208.0
6741.75,2018-07-16,6741.75,6357.01,115638203962.0,6357.01,4725799936.0
6359.64,2018-07-15,6403.46,6256.51,109074579938.0,6272.7,3285459968.0
6276.12,2018-07-14,6298.19,6212.22,107631453835.0,6247.5,2923670016.0
6238.05,2018-07-13,6310.55,6192.24,106968440793.0,6235.03,3805400064.0
6228.81,2018-07-12,6397.1,6136.42,106798864820.0,6396.78,3770170112.0
6394.71,2018-07-11,6444.96,6330.47,109631867446.0,6330.77,3644859904.0
6329.95,2018-07-10,6767.74,6320.72,108511009626.0,6739.21,4052430080.0
6741.75,2018-07-09,6838.68,6724.34,115557889495.0,6775.08,3718129920.0
6773.88,2018-07-08,6885.91,6747.98,116097021279.0,6857.8,3386210048.0
6856.93,2018-07-07,6863.99,6579.24,117506606000.0,6668.71,3961080064.0
6673.5,2018-07-06,6700.94,6533.55,114350502582.0,6638.69,4313959936.0
