Crime Clusters,Latitude,Longitude,Count
Crime Cluster 258,41.8707212,-87.68516542,1912
Crime Cluster 259,41.90113048,-87.66773471,2016
Crime Cluster 260,41.6993225,-87.64366497,1781
Crime Cluster 261,41.7840237,-87.60588095,836
Crime Cluster 262,41.82964406,-87.66771005,1695
Crime Cluster 263,41.86254021,-87.70756469,4337
Crime Cluster 264,41.93651807,-87.66448142,2710
Crime Cluster 265,41.76645066,-87.71823217,3289
Crime Cluster 266,41.82058355,-87.69482877,2365
Crime Cluster 267,41.72178351,-87.64317956,4507
Crime Cluster 268,41.71870217,-87.67827583,3728
Crime Cluster 269,41.88041044,-87.68344013,1847
Crime Cluster 270,41.75902083,-87.61794398,2095
Crime Cluster 271,41.69108368,-87.66571668,2984
Crime Cluster 272,41.7973949,-87.70468532,2540
Crime Cluster 273,41.94875694,-87.6633829,1735
Crime Cluster 274,41.81213144,-87.64340381,1797
Crime Cluster 275,41.98322673,-87.7686786,2784
Crime Cluster 276,41.78113397,-87.59084714,3546
Crime Cluster 277,41.73623722,-87.62495592,2295
Crime Cluster 278,41.8340929,-87.69727154,371
Crime Cluster 279,41.76463693,-87.64463679,1155
Crime Cluster 280,41.74843129,-87.68335171,1623
Crime Cluster 281,41.85273214,-87.63490996,4133
Crime Cluster 282,41.87942193,-87.64041279,2495
Crime Cluster 283,41.8821842,-87.76911407,3306
Crime Cluster 284,41.75279826,-87.56412866,1157
Crime Cluster 285,41.77700946,-87.67211929,2823
Crime Cluster 286,41.87239747,-87.71020728,2861
Crime Cluster 287,41.7282543,-87.60730051,4359
Crime Cluster 288,41.6906223,-87.63759639,1976
Crime Cluster 289,41.68995067,-87.62277609,2610
Crime Cluster 290,41.87375475,-87.72378159,2835
Crime Cluster 291,41.83751674,-87.64504335,1922
Crime Cluster 292,41.8120776,-87.69703339,5321
Crime Cluster 293,41.87127811,-87.6690299,1744
Crime Cluster 294,41.90762486,-87.71167921,3378
Crime Cluster 295,41.7906306,-87.6213722,1985
Crime Cluster 296,41.89450451,-87.66009127,3165
Crime Cluster 297,41.76870143,-87.62407576,1957
Crime Cluster 298,41.77807111,-87.76053841,2178
Crime Cluster 299,41.88046472,-87.64914818,2329
Crime Cluster 300,41.86620051,-87.64103248,2293
